,S#,SNAME,SEX,BDATE,HEIGHT,DORM
1,07057680,尹安琪,女,2001/1/25,1.6,西8舍336
2,04021449,姚泽斌,女,2003/10/18,1.65,西8舍336
3,07092976,郎文鹏,女,2004/10/27,1.75,西8舍336
4,04042174,刘东旭,女,2001/10/18,1.67,东19舍321
5,09050338,高畅,男,2002/8/14,1.72,西2舍339
6,09096558,罗芸,男,2002/8/2,1.79,西2舍339
7,03011262,樊玥,男,2001/10/11,1.76,东27舍437
8,07053914,张韵晗,女,2004/5/21,1.58,东19舍321
9,08062329,包宇新,男,2004/9/26,1.76,东27舍437
10,01071746,张雯雯,女,2004/6/30,1.61,东19舍321
11,02018220,魏齐蕾,女,2003/6/29,1.59,东19舍321
12,01086932,冯俊凝,男,2005/9/14,1.67,东27舍437
13,03077291,杨子仪,男,2005/5/13,1.94,东27舍437
14,07099950,张吉龙,男,2001/7/29,1.82,东30舍611
15,09032742,耿菁遥,女,2005/3/11,1.48,东5舍713
16,05077978,孔令炜,女,2004/9/10,1.52,东5舍713
17,02041999,卢菀祺,女,2002/6/2,1.66,东5舍713
18,05046041,刘玉杰,男,2002/6/27,1.71,东30舍611
19,03029035,陈娅奎,男,2005/7/13,1.81,东30舍611
20,01024399,任贞宇,女,2003/3/26,1.58,东5舍713
21,02066104,张桢权,男,2002/3/15,1.62,东30舍611
22,03053155,罗扬杰,男,2005/9/27,1.75,东28舍731
23,03011164,李晗霖,男,2003/1/4,1.74,东28舍731
24,06062075,黄映琨,男,2005/2/14,1.67,东28舍731
25,04011836,黄欣雨,男,2002/8/9,1.77,东28舍731
26,01019142,何洋,男,2001/2/24,1.76,东7舍213
27,03050165,李德林,男,2003/8/7,1.76,东7舍213
28,01087860,符泷太,男,2005/10/2,1.9,东7舍213
29,08067258,黄千慧,女,2003/5/9,1.6,西7舍522
30,04082141,梁一,男,2002/3/5,1.69,东7舍213
31,06058397,张添,女,2003/9/8,1.74,西7舍522
32,08076497,王睿之,男,2002/4/28,1.74,东30舍706
33,06056499,吕秋燃,男,2005/2/2,1.75,东30舍706
34,09032266,姚绍玮,女,2004/9/14,1.55,西7舍522
35,08029896,况卓雕,女,2002/5/5,1.76,西7舍522
36,04096361,王翼阳,女,2003/10/12,1.59,东14舍619
37,01085819,卢文益,男,2004/9/27,1.68,东30舍706
38,02047278,于靖怡,男,2001/9/29,1.65,东30舍706
39,02031683,徐敏睿,男,2001/12/31,1.68,东23舍412
40,02079189,吕良波,男,2005/7/25,1.64,东23舍412
41,08091072,徐雪茵,女,2005/7/29,1.71,东14舍619
42,02095850,于靖凡,女,2005/2/26,1.76,东14舍619
43,03017948,于淼,男,2002/6/2,1.69,东23舍412
44,09086483,朱军,男,2005/7/7,1.7,东23舍412
45,05095321,张宇尧,男,2002/11/15,1.8,西4舍633
46,01081704,耿明尧,女,2002/8/31,1.62,东14舍619
47,07024669,朱烨煌,男,2003/11/27,1.81,西4舍633
48,08095838,马诗琦,女,2002/5/3,1.61,西24舍706
49,07098542,阮韬竹,女,2001/3/13,1.8,西24舍706
50,01018362,石可心,男,2002/6/21,1.87,西4舍633
51,05062227,徐田婷,女,2004/6/23,1.56,西24舍706
52,05055968,江宇峰,女,2002/10/5,1.6,西24舍706
53,08066389,王泓睿,男,2001/2/19,1.82,西4舍633
54,05097496,余沛奇,女,2001/6/11,1.55,东19舍335
55,03045440,胡雨晨,女,2004/8/11,1.7,东19舍335
56,01091137,李新宇,男,2001/9/17,1.74,东18舍315
57,06073135,周琨朗,女,2002/11/17,1.85,东19舍335
58,08027409,白耘溪,女,2005/4/2,1.77,东19舍335
59,08088342,杜海容,女,2002/9/24,1.72,东29舍233
60,04025272,陈奕潮,女,2001/8/17,1.79,东29舍233
61,02031071,樊知昀,男,2002/1/8,1.84,东18舍315
62,06023890,张文睿,男,2004/6/14,1.65,东18舍315
63,04074129,郭垚森,男,2005/1/15,1.77,东18舍315
64,01037725,赵笑薇,男,2001/9/23,1.7,东16舍539
65,09042220,唐一宁,男,2005/2/12,1.77,东16舍539
66,03032489,孙宁,男,2004/11/29,1.82,东16舍539
67,06052513,陆怿,女,2005/10/12,1.72,东29舍233
68,07029407,李家铖,男,2004/3/31,1.73,东16舍539
69,08024114,吴馨羽,男,2002/12/30,1.68,西21舍302
70,05092056,周珊珊,男,2001/5/7,1.74,西21舍302
71,07012572,元天宇,女,2001/3/24,1.63,东29舍233
72,02059925,张育衡,女,2005/9/9,1.56,东21舍335
73,09037552,王泉,男,2005/2/16,1.87,西21舍302
74,01021387,夏思宇,女,2002/11/7,1.67,东21舍335
75,09066869,郑欢,女,2001/8/8,1.71,东21舍335
76,05033917,钟俊森,男,2001/2/19,1.6,西21舍302
77,06053116,郑季函,男,2005/5/15,1.78,西5舍733
78,03080732,韦力涵,男,2003/9/21,1.66,西5舍733
79,08087386,江桂甜,女,2004/3/13,1.65,东21舍335
80,09017614,宁秋梅,男,2005/3/19,1.63,西5舍733
